,age,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
0,29,3,0,453,0,0,8,126,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,55,2,0,0,0,0,10,102,1,106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2,56,2,0,935,0,0,6,136,1,96,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3,47,3,0,3232,0,0,10,541,1,204,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4,39,3,0,508,0,0,11,154,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,36,3,0,306,0,0,8,111,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,33,3,0,6807,0,0,4,163,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,36,3,0,669,0,0,6,91,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,52,2,0,1956,0,0,6,384,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9,53,3,0,694,0,0,6,130,6,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,46,3,0,743,0,0,6,36,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,57,1,0,2785,0,0,8,610,4,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,51,2,0,1069,1,0,5,247,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13,33,3,0,254,1,0,5,558,13,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
14,37,2,0,417,0,0,7,1212,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15,55,1,0,39,1,0,5,343,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,41,2,0,-675,1,1,3,147,4,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
17,42,2,0,1598,1,1,4,1463,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18,31,2,0,255,1,1,5,295,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19,33,2,0,4790,1,0,4,137,1,272,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
20,47,3,0,60,0,0,6,282,7,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,44,3,0,6203,1,1,5,129,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
22,36,3,0,-290,1,1,1,150,1,189,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23,53,2,0,2047,0,0,7,342,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,33,2,0,-253,1,0,5,89,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25,58,3,0,853,0,0,6,1149,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,65,0,0,300,0,0,8,245,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
27,48,2,0,1152,1,0,7,168,5,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
